Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
394,0.04,71.68659936015165,13,16.666666666666664%
395,0.04,71.68450480948711,13,16.666666666666664%
396,0.04,71.68241773256175,13,16.666666666666664%
397,0.04,71.68033806930822,13,16.666666666666664%
398,0.04,71.67826576021996,13,16.666666666666664%
399,0.04,71.67620074634895,13,16.666666666666664%
400,0.04,71.67414296930407,13,16.666666666666664%
401,0.04,71.67209237124878,13,16.666666666666664%
402,0.04,71.67004889489873,13,16.666666666666664%
403,0.04,71.66801248352041,13,16.666666666666664%
404,0.04,71.66598308092698,13,16.666666666666664%
405,0.04,71.66396063147796,13,16.666666666666664%
406,0.04,71.661945080075,13,16.666666666666664%
407,0.04,71.6599363721613,13,16.666666666666664%
408,0.04,71.65793445371622,13,16.666666666666664%
409,0.04,71.65593927125494,13,16.666666666666664%
410,0.04,71.65395077182451,13,16.666666666666664%
411,0.04,71.65196890300106,13,16.666666666666664%
412,0.04,71.64999361288757,13,16.666666666666664%
413,0.04,71.64802485010988,13,16.666666666666664%
414,0.04,71.64606256381401,13,16.666666666666664%
415,0.04,71.6441067036638,13,16.666666666666664%
416,0.04,71.64215721983655,13,16.666666666666664%
417,0.04,71.6402140630199,13,16.666666666666664%
418,0.04,71.63827718440929,13,16.666666666666664%
419,0.04,71.63634653570398,13,16.666666666666664%
420,0.04,71.63442206910392,13,16.666666666666664%
421,0.04,71.6325037373056,13,16.666666666666664%
422,0.04,71.63059149349998,13,16.666666666666664%
423,0.04,71.62868529136719,13,16.666666666666664%
424,0.04,71.62678508507382,13,16.666666666666664%
425,0.04,71.62489082926962,13,16.666666666666664%
426,0.04,71.62300247908225,13,16.666666666666664%
427,0.04,71.62111999011589,13,16.666666666666664%
428,0.04,71.6192433184448,13,16.666666666666664%
429,0.04,71.61737242061197,13,16.666666666666664%
430,0.04,71.61550725362362,13,16.666666666666664%
431,0.04,71.61364777494533,13,16.666666666666664%
432,0.04,71.61179394249949,13,16.666666666666664%
433,0.04,71.60994571465976,13,16.666666666666664%
434,0.04,71.60810305024886,13,16.666666666666664%
435,0.04,71.60626590853198,13,16.666666666666664%
436,0.04,71.60443424921547,13,16.666666666666664%
437,0.04,71.60260803244115,13,16.666666666666664%
438,0.04,71.60078721878348,13,16.666666666666664%
439,0.04,71.59897176924417,13,16.666666666666664%
440,0.04,71.59716164524842,13,16.666666666666664%
441,0.04,71.59535680864231,13,16.666666666666664%
442,0.04,71.5935572216866,13,16.666666666666664%
443,0.04,71.59176284705364,13,16.666666666666664%
444,0.04,71.58997364782417,13,16.666666666666664%
445,0.04,71.58818958748076,13,16.666666666666664%
446,0.04,71.58641062990662,13,16.666666666666664%
447,0.04,71.58463673937935,13,16.666666666666664%
448,0.04,71.58286788056755,13,16.666666666666664%
449,0.04,71.58110401852718,13,16.666666666666664%
450,0.04,71.57934511869662,13,16.666666666666664%
451,0.04,71.57759114689297,13,16.666666666666664%
452,0.04,71.57584206930797,13,16.666666666666664%
453,0.04,71.57409785250422,13,16.666666666666664%
454,0.04,71.57235846341032,13,16.666666666666664%
455,0.04,71.57062386931779,13,16.666666666666664%
456,0.04,71.56889403787613,13,16.666666666666664%
457,0.04,71.56716893708942,13,16.666666666666664%
458,0.04,71.5654485353118,13,16.666666666666664%
459,0.04,71.56373280124399,13,16.666666666666664%
460,0.04,71.56202170392865,13,16.666666666666664%
461,0.04,71.5603152127477,13,16.666666666666664%
462,0.04,71.55861329741654,13,16.666666666666664%
463,0.04,71.55691592798142,13,16.666666666666664%
464,0.04,71.5552230748154,13,16.666666666666664%
465,0.04,71.55353470861408,13,16.666666666666664%
466,0.04,71.55185080039155,13,16.666666666666664%
467,0.04,71.55017132147732,13,16.666666666666664%
468,0.04,71.54849624351178,13,16.666666666666664%
469,0.04,71.54682553844313,13,16.666666666666664%
470,0.04,71.54515917852274,13,16.666666666666664%
471,0.04,71.54349713630245,13,16.666666666666664%
472,0.04,71.54183938462934,13,16.666666666666664%
473,0.04,71.5401858966436,13,16.666666666666664%
474,0.04,71.53853664577454,13,16.666666666666664%
475,0.04,71.53689160573562,13,16.666666666666664%
476,0.04,71.53525075052292,13,16.666666666666664%
477,0.04,71.53361405441035,13,16.666666666666664%
478,0.04,71.5319814919454,13,16.666666666666664%
