Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
209,0.392307692,76.00036624,1,1.92%
210,0.392307692,75.99953046,1,1.92%
211,0.392307692,75.99865075,1,1.92%
212,0.392307692,75.99772244,1,1.92%
213,0.392307692,75.99674023,1,1.92%
214,0.392307692,75.99569802,1,1.92%
215,0.392307692,75.99458882,1,1.92%
216,0.392307692,75.9934045,1,1.92%
217,0.392307692,75.99213561,1,1.92%
218,0.392307692,75.99077104,1,1.92%
219,0.392307692,75.9892977,1,1.92%
220,0.392307692,75.98769997,1,1.92%
221,0.392307692,75.98595913,1,1.92%
222,0.392307692,75.98405252,1,1.92%
223,0.392307692,75.98195242,1,1.92%
224,0.392307692,75.97962457,1,1.92%
225,0.392307692,75.97702613,1,1.92%
226,0.392307692,75.97410277,1,1.92%
227,0.392307692,75.97078463,1,1.92%
228,0.392307692,75.96698028,1,1.92%
229,0.392307692,75.96256782,1,1.92%
230,0.392307692,75.95738107,1,1.92%
231,0.392307692,75.9511878,1,1.92%
232,0.392307692,75.94365362,1,1.92%
233,0.392307692,75.93428013,1,1.92%
234,0.392307692,75.92229268,1,1.92%
235,0.392307692,75.90642493,1,1.92%
236,0.392307692,75.88447383,1,1.92%
237,0.392307692,75.85230031,1,1.92%
238,0.392307692,75.80136206,1,1.92%
239,0.392307692,75.7120994,1,1.92%
240,0.392307692,75.53730814,1,1.92%
241,0.392307692,75.20156468,1,1.92%
242,0.392307692,74.82577582,1,1.92%
243,0.392307692,74.52701532,1,1.92%
244,0.392307692,74.20048546,1,1.92%
245,0.392307692,74.07960457,1,1.92%
246,0.392307692,74.04853592,1,1.92%
247,0.392307692,74.03366953,1,1.92%
248,0.392307692,74.02424868,1,1.92%
249,0.392307692,74.01723555,1,1.92%
250,0.392307692,74.01138393,1,1.92%
251,0.392307692,74.00603901,1,1.92%
252,0.392307692,74.00077011,1,1.92%
253,0.392307692,73.99521838,1,1.92%
254,0.392307692,73.98900631,1,1.92%
255,0.392307692,73.98165205,1,1.92%
256,0.392307692,73.9724464,1,1.92%
257,0.392307692,73.96022725,1,1.92%
258,0.392307692,73.94290337,1,1.92%
259,0.392307692,73.91633413,1,1.92%
260,0.392307692,73.87141932,1,1.92%
261,0.392307692,73.78607551,1,1.92%
262,0.392307692,73.60786808,1,1.92%
263,0.392307692,73.29835428,1,1.92%
264,0.392307692,73.10056283,1,1.92%
265,0.392307692,73.05967507,1,1.92%
266,0.392307692,73.04534943,1,1.92%
267,0.392307692,73.03798197,1,1.92%
268,0.392307692,73.03342046,1,1.92%
269,0.392307692,73.03026714,1,1.92%
270,0.392307692,73.02792092,1,1.92%
271,0.392307692,73.02608065,1,1.92%
272,0.392307692,73.0245787,1,1.92%
273,0.392307692,73.02331422,1,1.92%
274,0.392307692,73.02222281,1,1.92%
275,0.392307692,73.02126131,1,1.92%
276,0.392307692,73.02039967,1,1.92%
277,0.392307692,73.01961623,1,1.92%
278,0.392307692,73.01889496,1,1.92%
279,0.392307692,73.01822367,1,1.92%
280,0.392307692,73.01759289,1,1.92%
281,0.392307692,73.01699515,1,1.92%
282,0.392307692,73.01642438,1,1.92%
283,0.392307692,73.01587562,1,1.92%
284,0.392307692,73.01534472,1,1.92%
285,0.392307692,73.01482815,1,1.92%
286,0.392307692,73.01432286,1,1.92%
287,0.392307692,73.01382619,1,1.92%
288,0.392307692,73.01333574,1,1.92%
289,0.392307692,73.01284936,1,1.92%
290,0.392307692,73.01236505,1,1.92%
291,0.392307692,73.01188094,1,1.92%
292,0.392307692,73.01139524,1,1.92%
293,0.392307692,73.01090621,1,1.92%
294,0.392307692,73.01041215,1,1.92%
295,0.392307692,73.00991133,1,1.92%
296,0.392307692,73.00940201,1,1.92%
297,0.392307692,73.00888239,1,1.92%
298,0.392307692,73.00835058,1,1.92%
299,0.392307692,73.00780459,1,1.92%
300,0.392307692,73.00724228,1,1.92%
301,0.392307692,73.00666133,1,1.92%
302,0.392307692,73.00605922,1,1.92%
303,0.392307692,73.00543315,1,1.92%
304,0.392307692,73.00478002,1,1.92%
305,0.392307692,73.00409633,1,1.92%
306,0.392307692,73.00337814,1,1.92%
307,0.392307692,73.00262096,1,1.92%
308,0.392307692,73.00181961,1,1.92%
309,0.392307692,73.00096812,1,1.92%
310,0.392307692,73.00005948,1,1.92%
311,0.392307692,72.99908548,1,1.92%
312,0.392307692,72.99803635,1,1.92%
313,0.392307692,72.99690037,1,1.92%
314,0.392307692,72.99566337,1,1.92%
315,0.392307692,72.994308,1,1.92%
316,0.392307692,72.99281279,1,1.92%
317,0.392307692,72.99115081,1,1.92%
318,0.392307692,72.98928777,1,1.92%
319,0.392307692,72.98717941,1,1.92%
320,0.392307692,72.98476743,1,1.92%
321,0.392307692,72.98197358,1,1.92%
322,0.392307692,72.9786903,1,1.92%
323,0.392307692,72.97476581,1,1.92%
324,0.392307692,72.96997913,1,1.92%
325,0.392307692,72.96399665,1,1.92%
326,0.392307692,72.95629237,1,1.92%
327,0.392307692,72.94599263,1,1.92%
328,0.392307692,72.93155158,1,1.92%
329,0.392307692,72.910014,1,1.92%
330,0.392307692,72.87517785,1,1.92%
331,0.392307692,72.81260885,1,1.92%
332,0.392307692,72.68648728,1,1.92%
333,0.392307692,72.43104159,1,1.92%
334,0.392307692,72.13801528,1,1.92%
335,0.392307692,72.04896224,1,1.92%
336,0.392307692,72.02545014,1,1.92%
337,0.392307692,72.01380943,1,1.92%
338,0.392307692,72.0059023,1,1.92%
339,0.392307692,71.99933723,1,1.92%
340,0.392307692,71.99304528,1,1.92%
341,0.392307692,71.98632777,1,1.92%
342,0.392307692,71.97851731,1,1.92%
343,0.392307692,71.96875089,1,1.92%
344,0.392307692,71.95566945,1,1.92%
